"Starting.Month","Name","Type","Sum.of.24.Annual.Avg.Hours"
"9/1/2012 0:00","27th Street","ML","34,717.00"
"9/1/2012 0:00","27th Street","FR","1,636.00"
"9/1/2012 0:00","27th Street","OR","3,482.00"
"10/1/2012 0:00","27th Street","FR","1,764.00"
"10/1/2012 0:00","27th Street","ML","35,168.00"
"10/1/2012 0:00","27th Street","OR","3,542.00"
"11/1/2012 0:00","27th Street","ML","36,081.00"
"11/1/2012 0:00","27th Street","FR","1,726.00"
"11/1/2012 0:00","27th Street","OR","3,686.00"
"12/1/2012 0:00","27th Street","OR","3,698.00"
"12/1/2012 0:00","27th Street","FR","1,665.00"
"12/1/2012 0:00","27th Street","ML","36,191.00"
"1/1/2013 0:00","27th Street","HV","1,782.00"
"1/1/2013 0:00","27th Street","ML","35,660.00"
"1/1/2013 0:00","27th Street","FR","1,615.00"
"1/1/2013 0:00","27th Street","OR","3,694.00"
"2/1/2013 0:00","27th Street","OR","3,740.00"
"2/1/2013 0:00","27th Street","FR","1,587.00"
"2/1/2013 0:00","27th Street","HV","1,707.00"
"2/1/2013 0:00","27th Street","ML","35,428.00"
"3/1/2013 0:00","27th Street","FR","1,581.00"
"3/1/2013 0:00","27th Street","ML","35,559.00"
"3/1/2013 0:00","27th Street","HV","1,750.00"
"3/1/2013 0:00","27th Street","OR","3,805.00"
"4/1/2013 0:00","27th Street","OR","3,858.00"
"4/1/2013 0:00","27th Street","HV","1,778.00"
"4/1/2013 0:00","27th Street","FR","1,587.00"
"4/1/2013 0:00","27th Street","ML","35,645.00"
"5/1/2013 0:00","27th Street","FR","1,591.00"
"5/1/2013 0:00","27th Street","ML","35,943.00"
"5/1/2013 0:00","27th Street","HV","1,822.00"
"5/1/2013 0:00","27th Street","OR","3,953.00"
"6/1/2013 0:00","27th Street","HV","1,835.00"
"6/1/2013 0:00","27th Street","ML","36,102.00"
"6/1/2013 0:00","27th Street","FR","1,591.00"
"6/1/2013 0:00","27th Street","OR","4,014.00"
"7/1/2013 0:00","27th Street","FR","1,587.00"
"7/1/2013 0:00","27th Street","ML","36,157.00"
"7/1/2013 0:00","27th Street","HV","1,851.00"
"7/1/2013 0:00","27th Street","OR","4,034.00"
"8/1/2013 0:00","27th Street","ML","36,226.00"
"8/1/2013 0:00","27th Street","OR","4,041.00"
"8/1/2013 0:00","27th Street","FR","1,584.00"
"8/1/2013 0:00","27th Street","HV","1,870.00"
"9/1/2013 0:00","27th Street","OR","4,090.00"
"9/1/2013 0:00","27th Street","HV","1,879.00"
"9/1/2013 0:00","27th Street","ML","36,402.00"
"9/1/2013 0:00","27th Street","FR","1,586.00"
"10/1/2013 0:00","27th Street","HV","1,875.00"
"10/1/2013 0:00","27th Street","FR","1,579.00"
"10/1/2013 0:00","27th Street","ML","36,629.00"
"10/1/2013 0:00","27th Street","OR","4,167.00"
"11/1/2013 0:00","27th Street","OR","4,262.00"
"11/1/2013 0:00","27th Street","FR","1,577.00"
"11/1/2013 0:00","27th Street","HV","1,893.00"
"11/1/2013 0:00","27th Street","ML","36,922.00"
"12/1/2013 0:00","27th Street","HV","1,911.00"
"12/1/2013 0:00","27th Street","ML","37,109.00"
"12/1/2013 0:00","27th Street","FR","1,578.00"
"12/1/2013 0:00","27th Street","OR","4,338.00"
"1/1/2014 0:00","27th Street","HV","1,929.00"
"1/1/2014 0:00","27th Street","ML","37,507.00"
"1/1/2014 0:00","27th Street","FR","1,584.00"
"1/1/2014 0:00","27th Street","OR","4,415.00"
"2/1/2014 0:00","27th Street","OR","4,477.00"
"2/1/2014 0:00","27th Street","FR","1,586.00"
"2/1/2014 0:00","27th Street","HV","1,954.00"
"2/1/2014 0:00","27th Street","ML","37,842.00"
"3/1/2014 0:00","27th Street","FR","1,585.00"
